id,visitor_id,page,time_spent,start_time
1,,HomePage,16.311129,2023-05-17 14:41:08.923944
2,,Experiences,4.315823,2023-05-17 14:41:25.240901
3,,Contact,4.898399,2023-05-17 14:41:29.559931
4,,About OpenKAT,57.939917,2023-05-17 14:41:34.461496
5,,Contact,3.553243,2023-05-17 14:42:32.404949
6,,OpenKAT.nl,4.286218,2023-05-17 14:42:35.959857
